,Unnamed: 0,Region,Country,State,City,Month,Day,Year,AvgTemperature,High
6454,129685,Africa,Madagascar,,Antananarivo,9.0,2.0,2012.0,62.5,True
6458,129689,Africa,Madagascar,,Antananarivo,9.0,6.0,2012.0,46.1,True
6519,129750,Africa,Madagascar,,Antananarivo,11.0,6.0,2012.0,47.4,True
6585,129816,Africa,Madagascar,,Antananarivo,1.0,11.0,2013.0,44.8,True
6589,129820,Africa,Madagascar,,Antananarivo,1.0,15.0,2013.0,55.0,True
6590,129821,Africa,Madagascar,,Antananarivo,1.0,16.0,2013.0,71.1,True
6592,129823,Africa,Madagascar,,Antananarivo,1.0,18.0,2013.0,67.6,True
6977,130208,Africa,Madagascar,,Antananarivo,2.0,7.0,2014.0,72.5,True
7671,130902,Africa,Madagascar,,Antananarivo,1.0,1.0,2016.0,70.1,True
7741,130972,Africa,Madagascar,,Antananarivo,3.0,11.0,2016.0,70.6,True
7797,131028,Africa,Madagascar,,Antananarivo,5.0,6.0,2016.0,64.4,True
7936,131167,Africa,Madagascar,,Antananarivo,9.0,22.0,2016.0,64.1,True
7987,131218,Africa,Madagascar,,Antananarivo,11.0,12.0,2016.0,70.0,True
8548,131779,Africa,Madagascar,,Antananarivo,5.0,27.0,2018.0,64.6,True
8721,131952,Africa,Madagascar,,Antananarivo,11.0,16.0,2018.0,70.5,True
8723,131954,Africa,Madagascar,,Antananarivo,11.0,18.0,2018.0,70.0,True
8790,132021,Africa,Madagascar,,Antananarivo,1.0,24.0,2019.0,70.9,True
8881,132112,Africa,Madagascar,,Antananarivo,4.0,25.0,2019.0,70.2,True
8906,132137,Africa,Madagascar,,Antananarivo,5.0,20.0,2019.0,66.2,True
